strategy_id,strategy_group,description,s001_tuned,query_variant,candidate_representation,candidate_strategy,candidate_k,mean_actual_candidate_count,min_actual_candidate_count,max_actual_candidate_count,candidate_recall,candidate_hits,eligible_gold_count,rerank_representation,reranker_model,output_k,candidate_weight,reranker_weight,rank_constant,normalization,evaluated_query_count,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,max_gold_rank,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_15,recall_at_20,recall_at_30,promoted_into_top5_vs_baseline,demoted_out_of_top5_vs_baseline,promoted_into_top5_vs_candidate,demoted_out_of_top5_vs_candidate,preserved_reranker_hits,recovered_reranker_demotions,newly_promoted_vs_reranker,newly_demoted_vs_reranker,net_gain_vs_baseline,net_gain_vs_candidate,mean_gold_pages_in_top5,query_top5_gold_0,query_top5_gold_1,query_top5_gold_2,query_top5_gold_3_plus,warmup_repeats,measurement_repeats,cold_start_excluded,measurement_count,fusion_mean_ms,fusion_p50_ms,fusion_p90_ms,fusion_p95_ms,fusion_max_ms,query_embedding_mean_ms,query_embedding_p95_ms,candidate_mean_ms,candidate_p95_ms,reranker_mean_ms,reranker_p95_ms,retrieval_total_mean_ms,retrieval_total_p95_conservative_ms,online_llm_calls_per_query,new_model_calls,chain_name
RF0_reranker_only,RANK_FUSION,reranker rank only,True,Q0 current user query,P0,dense + Chinese BM25 RRF60,15,12.785714285714286,3,15,0.6666666666666666,14,21,P8 summary + keywords,BAAI/bge-reranker-base,5,,,,,14,0.2785879095227835,0.27000187441668094,10.476190476190476,9,26,0.047619047619047616,0.2857142857142857,0.42857142857142855,0.5238095238095238,0.6666666666666666,0.9047619047619048,1.0,4,2,4,2,9,0,0,0,2,2,0.6428571428571429,7,5,2,0,20,200,True,2800,0.0507914825,0.0368,0.07801,0.10351499999999991,2.119501,11.72238395748926,23.16133319982327,92.49517132817085,184.13797309985964,738.3813467855881,1019.6863480512548,842.6496935537482,1227.0891693509377,0,0,Q0 + P0 dense/Chinese-BM25 RRF60 Top15 + P8 BAAI/bge-reranker-base + RF0_reranker_only -> Top5
RF1_equal_rrf_c20,RANK_FUSION,"1/(c+candidate_rank) + 1/(c+reranker_rank), c=20",True,Q0 current user query,P0,dense + Chinese BM25 RRF60,15,12.785714285714286,3,15,0.6666666666666666,14,21,P8 summary + keywords,BAAI/bge-reranker-base,5,1.0,1.0,20,,14,0.242141023075897,0.19870362024132787,10.476190476190476,8,26,0.0,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.9047619047619048,1.0,1,1,1,1,6,1,1,3,0,0,0.5,7,7,0,0,20,200,True,2800,0.05257334071428572,0.04035,0.078,0.09513499999999982,1.260001,11.72238395748926,23.16133319982327,92.49517132817085,184.13797309985964,738.3813467855881,1019.6863480512548,842.6514754119625,1227.0807893509377,0,0,Q0 + P0 dense/Chinese-BM25 RRF60 Top15 + P8 BAAI/bge-reranker-base + RF1_equal_rrf_c20 -> Top5
RF1_equal_rrf_c60,RANK_FUSION,"1/(c+candidate_rank) + 1/(c+reranker_rank), c=60",True,Q0 current user query,P0,dense + Chinese BM25 RRF60,15,12.785714285714286,3,15,0.6666666666666666,14,21,P8 summary + keywords,BAAI/bge-reranker-base,5,1.0,1.0,60,,14,0.23519657863145257,0.1798416114861428,10.619047619047619,9,26,0.0,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.6666666666666666,0.9047619047619048,1.0,1,2,1,2,6,0,0,3,-1,-1,0.42857142857142855,8,6,0,0,20,200,True,2800,0.0492187325,0.0391,0.0744,0.09203999999999977,1.387,11.72238395748926,23.16133319982327,92.49517132817085,184.13797309985964,738.3813467855881,1019.6863480512548,842.6481208037482,1227.0776943509377,0,0,Q0 + P0 dense/Chinese-BM25 RRF60 Top15 + P8 BAAI/bge-reranker-base + RF1_equal_rrf_c60 -> Top5
RF1_equal_rrf_c100,RANK_FUSION,"1/(c+candidate_rank) + 1/(c+reranker_rank), c=100",True,Q0 current user query,P0,dense + Chinese BM25 RRF60,15,12.785714285714286,3,15,0.6666666666666666,14,21,P8 summary + keywords,BAAI/bge-reranker-base,5,1.0,1.0,100,,14,0.23519657863145257,0.1798416114861428,10.619047619047619,9,26,0.0,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.6666666666666666,0.9047619047619048,1.0,1,2,1,2,6,0,0,3,-1,-1,0.42857142857142855,8,6,0,0,20,200,True,2800,0.052030233571428566,0.04425,0.0779,0.09072499999999986,1.5349,11.72238395748926,23.16133319982327,92.49517132817085,184.13797309985964,738.3813467855881,1019.6863480512548,842.6509323048195,1227.0763793509377,0,0,Q0 + P0 dense/Chinese-BM25 RRF60 Top15 + P8 BAAI/bge-reranker-base + RF1_equal_rrf_c100 -> Top5
RF2_reranker_weight_1.5,RANK_FUSION,1/(60+candidate_rank) + 1.5/(60+reranker_rank),True,Q0 current user query,P0,dense + Chinese BM25 RRF60,15,12.785714285714286,3,15,0.6666666666666666,14,21,P8 summary + keywords,BAAI/bge-reranker-base,5,1.0,1.5,60,,14,0.2808271385477268,0.23957034466577826,10.571428571428571,10,26,0.047619047619047616,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.9047619047619048,1.0,2,2,2,2,7,0,0,2,0,0,0.5,7,7,0,0,20,200,True,2800,0.06187220142857143,0.0456,0.084,0.1132,2.594201,11.72238395748926,23.16133319982327,92.49517132817085,184.13797309985964,738.3813467855881,1019.6863480512548,842.6607742726768,1227.0988543509377,0,0,Q0 + P0 dense/Chinese-BM25 RRF60 Top15 + P8 BAAI/bge-reranker-base + RF2_reranker_weight_1.5 -> Top5
RF2_reranker_weight_2,RANK_FUSION,1/(60+candidate_rank) + 2/(60+reranker_rank),True,Q0 current user query,P0,dense + Chinese BM25 RRF60,15,12.785714285714286,3,15,0.6666666666666666,14,21,P8 summary + keywords,BAAI/bge-reranker-base,5,1.0,2.0,60,,14,0.24902699424758248,0.2163384521236575,10.523809523809524,10,26,0.0,0.2857142857142857,0.3333333333333333,0.5238095238095238,0.6666666666666666,0.9047619047619048,1.0,2,2,2,2,7,0,0,2,0,0,0.5,7,7,0,0,20,200,True,2800,0.06484898821428571,0.05345,0.08793999999999996,0.11561499999999991,2.800901,11.72238395748926,23.16133319982327,92.49517132817085,184.13797309985964,738.3813467855881,1019.6863480512548,842.6637510594625,1227.1012693509376,0,0,Q0 + P0 dense/Chinese-BM25 RRF60 Top15 + P8 BAAI/bge-reranker-base + RF2_reranker_weight_2 -> Top5
RF2_reranker_weight_3,RANK_FUSION,1/(60+candidate_rank) + 3/(60+reranker_rank),True,Q0 current user query,P0,dense + Chinese BM25 RRF60,15,12.785714285714286,3,15,0.6666666666666666,14,21,P8 summary + keywords,BAAI/bge-reranker-base,5,1.0,3.0,60,,14,0.23593175615234438,0.21060422277709945,10.619047619047619,11,26,0.0,0.2857142857142857,0.3333333333333333,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,2,2,2,2,7,0,0,2,0,0,0.5,7,7,0,0,20,200,True,2800,0.061549629642857144,0.048,0.0843,0.10732999999999984,1.867301,11.72238395748926,23.16133319982327,92.49517132817085,184.13797309985964,738.3813467855881,1019.6863480512548,842.660451700891,1227.0929843509377,0,0,Q0 + P0 dense/Chinese-BM25 RRF60 Top15 + P8 BAAI/bge-reranker-base + RF2_reranker_weight_3 -> Top5
RF2_reranker_weight_4,RANK_FUSION,1/(60+candidate_rank) + 4/(60+reranker_rank),True,Q0 current user query,P0,dense + Chinese BM25 RRF60,15,12.785714285714286,3,15,0.6666666666666666,14,21,P8 summary + keywords,BAAI/bge-reranker-base,5,1.0,4.0,60,,14,0.22898037420096243,0.2075681175049467,10.714285714285714,11,26,0.0,0.23809523809523808,0.3333333333333333,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,2,2,2,2,7,0,0,2,0,0,0.5,7,7,0,0,20,200,True,2800,0.059786129285714286,0.0471505,0.086,0.11000499999999998,1.474601,11.72238395748926,23.16133319982327,92.49517132817085,184.13797309985964,738.3813467855881,1019.6863480512548,842.6586882005339,1227.0956593509377,0,0,Q0 + P0 dense/Chinese-BM25 RRF60 Top15 + P8 BAAI/bge-reranker-base + RF2_reranker_weight_4 -> Top5
RF3_candidate_weight_1.5,RANK_FUSION,1.5/(60+candidate_rank) + 1/(60+reranker_rank),True,Q0 current user query,P0,dense + Chinese BM25 RRF60,15,12.785714285714286,3,15,0.6666666666666666,14,21,P8 summary + keywords,BAAI/bge-reranker-base,5,1.5,1.0,60,,14,0.2673420125626008,0.21294818993615802,10.904761904761905,11,26,0.047619047619047616,0.2857142857142857,0.3333333333333333,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,1,1,1,1,6,1,1,3,0,0,0.5,7,7,0,0,20,200,True,2800,0.05086684035714286,0.0416,0.07871999999999998,0.09392499999999986,0.647301,11.72238395748926,23.16133319982327,92.49517132817085,184.13797309985964,738.3813467855881,1019.6863480512548,842.6497689116053,1227.0795793509376,0,0,Q0 + P0 dense/Chinese-BM25 RRF60 Top15 + P8 BAAI/bge-reranker-base + RF3_candidate_weight_1.5 -> Top5
RF3_candidate_weight_2,RANK_FUSION,2/(60+candidate_rank) + 1/(60+reranker_rank),True,Q0 current user query,P0,dense + Chinese BM25 RRF60,15,12.785714285714286,3,15,0.6666666666666666,14,21,P8 summary + keywords,BAAI/bge-reranker-base,5,2.0,1.0,60,,14,0.2792467744673627,0.21868241928271606,10.857142857142858,11,26,0.047619047619047616,0.2857142857142857,0.3333333333333333,0.47619047619047616,0.6666666666666666,0.9047619047619048,1.0,1,1,1,1,6,1,1,3,0,0,0.5,7,7,0,0,20,200,True,2800,0.07839109964285715,0.0582,0.0921,0.13976999999999962,4.426302,11.72238395748926,23.16133319982327,92.49517132817085,184.13797309985964,738.3813467855881,1019.6863480512548,842.6772931708911,1227.1254243509377,0,0,Q0 + P0 dense/Chinese-BM25 RRF60 Top15 + P8 BAAI/bge-reranker-base + RF3_candidate_weight_2 -> Top5
