session_id,query_id,gold_page_id,baseline_rank,old_rewrite_rank,reference_resolution_rank,baseline_score,old_rewrite_score,reference_resolution_score,reference_transition,old_rewrite_transition,promoted_by_old,demoted_by_old,promoted_by_reference,demoted_by_reference,recovered_old_rewrite_demotion,lost_old_rewrite_rescue,new_rescue,new_demotion,old_rank_movement,reference_rank_movement
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,3,3,3,0.35526493191719055,0.6120989322662354,0.37680989503860474,BASE_HIT_REF_HIT,BASE_HIT_OLD_HIT,False,False,False,False,False,False,False,False,0,0
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,6,5,7,0.4535906910896301,0.7370246052742004,0.4556555449962616,BASE_HIT_REF_HIT,BASE_HIT_OLD_HIT,True,False,False,False,False,True,False,False,1,-1
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,1,3,1,0.5185934901237488,0.7420948147773743,0.5206581354141235,BASE_HIT_REF_HIT,BASE_HIT_OLD_HIT,False,False,False,False,False,False,False,False,-2,0
S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,9,8,9,0.3880617618560791,0.7040457129478455,0.3724477291107178,BASE_MISS_REF_HIT,BASE_MISS_OLD_HIT,False,False,False,False,False,False,False,False,1,0
S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,7,2,5,0.4383961260318756,0.7575286626815796,0.43229347467422485,BASE_MISS_REF_HIT,BASE_MISS_OLD_HIT,True,False,True,False,False,False,False,False,5,2
S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,1,3,2,0.6648146510124207,0.7920559644699097,0.6575337052345276,BASE_HIT_REF_HIT,BASE_HIT_OLD_HIT,False,False,False,False,False,False,False,False,-2,-1
S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,6,8,5,0.5378081798553467,0.699106752872467,0.5601322650909424,BASE_MISS_REF_HIT,BASE_MISS_OLD_MISS,False,False,True,False,False,False,True,False,-2,1
S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,16,14,9,0.5138569474220276,0.6789065599441528,0.5156210660934448,BASE_MISS_REF_MISS,BASE_MISS_OLD_MISS,False,False,False,False,False,False,False,False,2,7
S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,13,12,10,0.5241682529449463,0.6822354793548584,0.5093303322792053,BASE_MISS_REF_MISS,BASE_MISS_OLD_MISS,False,False,False,False,False,False,False,False,1,3
S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,21,22,21,0.3901694118976593,0.5805697441101074,0.41663023829460144,BASE_HIT_REF_HIT,BASE_HIT_OLD_HIT,False,False,False,False,False,False,False,False,-1,0
S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,4,4,4,0.4946797788143158,0.6619879603385925,0.5109377503395081,BASE_HIT_REF_HIT,BASE_HIT_OLD_HIT,False,False,False,False,False,False,False,False,0,0
S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,2,4,3,0.48575401306152344,0.6215823888778687,0.4898238778114319,BASE_HIT_REF_HIT,BASE_HIT_OLD_HIT,False,False,False,False,False,False,False,False,-2,-1
S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,2,22,5,0.5201343297958374,0.6458949446678162,0.5206761360168457,BASE_HIT_REF_HIT,BASE_HIT_OLD_MISS,False,True,False,False,True,False,False,False,-20,-3
S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,20,19,22,0.4486255347728729,0.6515364050865173,0.46949002146720886,BASE_HIT_REF_HIT,BASE_HIT_OLD_MISS,False,False,False,False,False,False,False,False,1,-2
S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,27,27,27,0.38482916355133057,0.40065380930900574,0.40913426876068115,BASE_MISS_REF_MISS,BASE_MISS_OLD_MISS,False,False,False,False,False,False,False,False,0,0
S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,3,2,5,0.49549949169158936,0.5199551582336426,0.5130845308303833,BASE_HIT_REF_HIT,BASE_HIT_OLD_HIT,False,False,False,False,False,False,False,False,1,-2
