session_id,session_code,query_id,page_id,candidate_rank,is_eligible_gold,movement_category,query_tokens,document_tokens,special_tokens,pair_tokens_before_truncation,actual_pair_tokens,effective_max_length,truncated_tokens,truncation_ratio,was_truncated,actual_query_tokens,actual_document_tokens,document_prefix_preserved,keywords_start_token,keywords_end_token,keywords_visibility,length_bucket
S001_贵州茅台_投研,S001,S001-Q007,dea63c61-1950-5f6a-bdd9-1323f83f3b37,1,False,NON_GOLD_CANDIDATE,34,286,4,324,324,512,0,0.0,False,34,286,True,249,286,KEYWORDS_FULLY_VISIBLE,257-512
S001_贵州茅台_投研,S001,S001-Q007,e7eefead-7365-5540-b914-0d6077a14d8c,2,False,NON_GOLD_CANDIDATE,34,257,4,295,295,512,0,0.0,False,34,257,True,220,257,KEYWORDS_FULLY_VISIBLE,257-512
S001_贵州茅台_投研,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,3,True,PRESERVED_HIT,34,294,4,332,332,512,0,0.0,False,34,294,True,257,294,KEYWORDS_FULLY_VISIBLE,257-512
S001_贵州茅台_投研,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,1,True,PRESERVED_HIT,34,341,4,379,379,512,0,0.0,False,34,341,True,300,341,KEYWORDS_FULLY_VISIBLE,257-512
S001_贵州茅台_投研,S001,S001-Q011,9b4b60a1-f0f9-5368-b4ce-b441752321bb,2,False,NON_GOLD_CANDIDATE,34,348,4,386,386,512,0,0.0,False,34,348,True,310,348,KEYWORDS_FULLY_VISIBLE,257-512
S001_贵州茅台_投研,S001,S001-Q011,dea63c61-1950-5f6a-bdd9-1323f83f3b37,3,False,NON_GOLD_CANDIDATE,34,286,4,324,324,512,0,0.0,False,34,286,True,249,286,KEYWORDS_FULLY_VISIBLE,257-512
S001_贵州茅台_投研,S001,S001-Q011,70d0daf9-01a8-5e0f-9341-e20464515e43,4,False,NON_GOLD_CANDIDATE,34,319,4,357,357,512,0,0.0,False,34,319,True,284,319,KEYWORDS_FULLY_VISIBLE,257-512
S001_贵州茅台_投研,S001,S001-Q011,e7eefead-7365-5540-b914-0d6077a14d8c,5,False,NON_GOLD_CANDIDATE,34,257,4,295,295,512,0,0.0,False,34,257,True,220,257,KEYWORDS_FULLY_VISIBLE,257-512
S001_贵州茅台_投研,S001,S001-Q011,8322bc48-f2e3-5603-ae53-97917cf35a39,6,False,NON_GOLD_CANDIDATE,34,218,4,256,256,512,0,0.0,False,34,218,True,182,218,KEYWORDS_FULLY_VISIBLE,<=256
S001_贵州茅台_投研,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,7,True,PROMOTED_INTO_TOP5,34,294,4,332,332,512,0,0.0,False,34,294,True,257,294,KEYWORDS_FULLY_VISIBLE,257-512
S001_贵州茅台_投研,S001,S001-Q013,70d0daf9-01a8-5e0f-9341-e20464515e43,1,False,NON_GOLD_CANDIDATE,33,319,4,356,356,512,0,0.0,False,33,319,True,284,319,KEYWORDS_FULLY_VISIBLE,257-512
S001_贵州茅台_投研,S001,S001-Q013,8322bc48-f2e3-5603-ae53-97917cf35a39,2,False,NON_GOLD_CANDIDATE,33,218,4,255,255,512,0,0.0,False,33,218,True,182,218,KEYWORDS_FULLY_VISIBLE,<=256
